,dateSold,price,bedrooms,bathrooms,livingArea,lotSize,yearBuilt,zipcode,latitude,longitude
0,10/13/2014,221900.0,3,1.0,1180,5650,1955,98178,47.5112,-122.257
1,12/9/2014,538000.0,3,2.25,2570,7242,1951,98125,47.721,-122.319
2,2/25/2015,180000.0,2,1.0,770,10000,1933,98028,47.7379,-122.233
3,12/9/2014,604000.0,4,3.0,1960,5000,1965,98136,47.5208,-122.393
4,2/18/2015,510000.0,3,2.0,1680,8080,1987,98074,47.6168,-122.045
5,5/12/2014,1230000.0,4,4.5,5420,101930,2001,98053,47.6561,-122.005
6,6/27/2014,257500.0,3,2.25,1715,6819,1995,98003,47.3097,-122.327
7,1/15/2015,291850.0,3,1.5,1060,9711,1963,98198,47.4095,-122.315
8,4/15/2015,229500.0,3,1.0,1780,7470,1960,98146,47.5123,-122.337
9,3/12/2015,323000.0,3,2.5,1890,6560,2003,98038,47.3684,-122.031
10,4/3/2015,662500.0,3,2.5,3560,9796,1965,98007,47.6007,-122.145
11,5/27/2014,468000.0,2,1.0,1160,6000,1942,98115,47.69,-122.292
12,5/28/2014,310000.0,3,1.0,1430,19901,1927,98028,47.7558,-122.229
13,10/7/2014,400000.0,3,1.75,1370,9680,1977,98074,47.6127,-122.045
14,3/12/2015,530000.0,5,2.0,1810,4850,1900,98107,47.67,-122.394
15,1/24/2015,650000.0,4,3.0,2950,5000,1979,98126,47.5714,-122.375
16,7/31/2014,395000.0,3,2.0,1890,14040,1994,98019,47.7277,-121.962
17,5/29/2014,485000.0,4,1.0,1600,4300,1916,98103,47.6648,-122.343
18,12/5/2014,189000.0,2,1.0,1200,9850,1921,98002,47.3089,-122.21
19,4/24/2015,230000.0,3,1.0,1250,9774,1969,98003,47.3343,-122.306
20,5/14/2014,385000.0,4,1.75,1620,4980,1947,98133,47.7025,-122.341
21,8/26/2014,2000000.0,3,2.75,3050,44867,1968,98040,47.5316,-122.233
22,7/3/2014,285000.0,5,2.5,2270,6300,1995,98092,47.3266,-122.169
23,5/16/2014,252700.0,2,1.5,1070,9643,1985,98030,47.3533,-122.166
24,11/20/2014,329000.0,3,2.25,2450,6500,1985,98030,47.3739,-122.172
25,11/3/2014,233000.0,3,2.0,1710,4697,1941,98002,47.3048,-122.218
26,6/26/2014,937000.0,3,1.75,2450,2691,1915,98119,47.6386,-122.36
27,12/1/2014,667000.0,3,1.0,1400,1581,1909,98112,47.6221,-122.314
28,6/24/2014,438000.0,3,1.75,1520,6380,1948,98115,47.695,-122.304
29,3/2/2015,719000.0,4,2.5,2570,7173,2005,98052,47.7073,-122.11
30,11/10/2014,580500.0,3,2.5,2320,3980,2003,98027,47.5391,-122.07
31,12/1/2014,280000.0,2,1.5,1190,1265,2005,98133,47.7274,-122.357
32,6/24/2014,687500.0,4,1.75,2330,5000,1929,98117,47.6823,-122.368
33,11/10/2014,535000.0,3,1.0,1090,3000,1929,98117,47.6889,-122.375
34,12/3/2014,322500.0,4,2.75,2060,6659,1981,98058,47.4276,-122.157
35,6/13/2014,696000.0,3,2.5,2300,3060,1930,98115,47.6827,-122.31
36,5/28/2014,550000.0,4,1.0,1660,34848,1933,98052,47.6621,-122.132
37,12/30/2014,640000.0,4,2.0,2360,6000,1904,98107,47.6702,-122.362
38,2/13/2015,240000.0,4,1.0,1220,8075,1969,98001,47.3341,-122.282
39,6/20/2014,605000.0,4,2.5,2620,7553,1996,98056,47.5301,-122.18
40,7/15/2014,625000.0,4,2.5,2570,5520,2000,98074,47.6145,-122.027
41,8/11/2014,775000.0,4,2.25,4220,24186,1984,98166,47.445,-122.347
42,7/7/2014,861990.0,5,2.75,3595,5639,2014,98053,47.6848,-122.016
43,10/28/2014,685000.0,3,1.0,1570,2280,1922,98119,47.6413,-122.364
44,7/29/2014,309000.0,3,1.0,1280,9656,1959,98058,47.4485,-122.175
45,7/18/2014,488000.0,3,2.5,3160,13603,2003,98019,47.7443,-121.977
46,3/25/2015,210490.0,3,1.0,990,8528,1966,98023,47.3066,-122.371
47,7/16/2014,785000.0,4,2.5,2290,13416,1981,98007,47.6194,-122.151
48,4/28/2015,450000.0,3,1.75,1250,5963,1953,98115,47.6796,-122.301
49,3/11/2015,1350000.0,3,2.5,2753,65005,1953,98070,47.4041,-122.451
50,9/16/2014,228000.0,3,1.0,1190,9199,1955,98148,47.4258,-122.322
51,2/17/2015,345000.0,5,2.5,3150,9134,1966,98056,47.4934,-122.189
52,12/31/2014,600000.0,3,1.75,1410,4080,1950,98117,47.6808,-122.384
53,2/5/2015,585000.0,2,1.75,1980,8550,1981,98117,47.6989,-122.369
54,3/3/2015,920000.0,5,2.25,2730,6000,1927,98105,47.6571,-122.281
55,5/12/2014,885000.0,4,2.5,2830,5000,1995,98105,47.6597,-122.29
56,8/19/2014,292500.0,4,2.5,2250,4495,2008,98042,47.3663,-122.114
57,4/7/2015,301000.0,3,2.5,2420,4750,2003,98042,47.3663,-122.122
58,8/27/2014,951000.0,5,3.25,3250,14342,1968,98008,47.588,-122.116
59,2/23/2015,430000.0,4,3.0,1850,9976,1991,98059,47.5059,-122.149
60,12/10/2014,650000.0,3,2.25,2150,21235,1959,98166,47.4336,-122.339
61,8/28/2014,289000.0,3,1.75,1260,8400,1954,98148,47.4366,-122.335
62,10/21/2014,505000.0,3,1.75,2519,8690,1973,98166,47.4428,-122.344
63,12/7/2014,549000.0,3,1.75,1540,1044,2014,98115,47.6765,-122.32
64,6/3/2014,425000.0,3,2.25,1660,6000,1979,98122,47.6113,-122.297
65,11/20/2014,317625.0,3,2.75,2770,3809,1925,98144,47.5747,-122.304
66,9/9/2014,975000.0,4,2.5,2720,11049,1989,98004,47.5815,-122.192
67,10/9/2014,287000.0,4,2.5,2240,4648,2005,98001,47.3378,-122.257
68,8/25/2014,204000.0,3,1.0,1000,12070,1968,98042,47.3621,-122.11
69,6/12/2014,1330000.0,5,2.25,3200,20158,1965,98004,47.6303,-122.215
70,9/12/2014,1040000.0,5,3.25,4770,50094,1973,98005,47.6525,-122.16
71,1/5/2015,325000.0,3,2.0,1260,5612,1972,98034,47.7362,-122.179
72,6/10/2014,571000.0,4,2.0,2750,7807,1916,98125,47.7168,-122.287
73,7/10/2014,360000.0,4,2.5,2380,5000,2005,98038,47.3608,-122.036
74,3/16/2015,349000.0,3,1.75,1790,50529,1965,98042,47.3511,-122.073
75,11/5/2014,832500.0,4,4.0,3430,35102,1986,98075,47.5822,-121.987
76,10/13/2014,380000.0,4,1.75,1760,7300,1956,98008,47.6034,-122.125
77,4/20/2015,480000.0,3,1.0,1040,5060,1941,98116,47.5636,-122.394
78,6/9/2014,410000.0,3,1.0,1410,5060,1956,98133,47.7073,-122.34
79,3/23/2015,720000.0,4,2.5,3450,39683,2002,98010,47.342,-122.025
80,12/2/2014,390000.0,3,2.5,2350,5100,2003,98038,47.3512,-122.008
81,12/22/2014,360000.0,4,2.5,1900,5889,1992,98038,47.349,-122.031
82,10/28/2014,355000.0,2,1.0,2020,6720,1948,98118,47.5474,-122.291
83,1/28/2015,356000.0,3,1.5,1680,8712,1964,98059,47.4811,-122.149
84,6/2/2014,315000.0,3,1.0,960,6634,1952,98125,47.7264,-122.31
85,11/14/2014,940000.0,3,1.5,2140,3600,1925,98119,47.6337,-122.365
86,11/3/2014,305000.0,5,2.25,2660,8400,1961,98092,47.2909,-122.189
87,6/18/2014,461000.0,3,3.25,2770,6278,2006,98056,47.5228,-122.199
88,5/19/2014,215000.0,2,2.25,1610,2040,1979,98056,47.518,-122.194
89,9/4/2014,335000.0,2,1.75,1030,1066,2006,98136,47.5394,-122.387
90,5/22/2014,243500.0,4,2.5,1980,7403,1988,98023,47.2897,-122.372
91,3/11/2015,1100000.0,5,2.75,3520,6353,2001,98199,47.6506,-122.391
92,2/26/2015,153000.0,3,1.0,1200,10500,1962,98023,47.322,-122.351
93,7/25/2014,430000.0,3,1.5,1580,5000,1939,98117,47.687,-122.386
94,12/23/2014,700000.0,3,1.5,1580,5000,1939,98117,47.687,-122.386
95,9/8/2014,905000.0,4,2.5,3300,10250,1946,98040,47.5873,-122.249
96,3/30/2015,247500.0,3,1.75,1960,15681,1967,98032,47.3576,-122.277
97,9/12/2014,199000.0,4,1.5,1160,6400,1975,98023,47.3036,-122.378
98,7/11/2014,314000.0,3,1.75,1810,41800,1980,98038,47.4109,-121.958
99,5/16/2014,437500.0,3,2.5,2320,36847,1992,98045,47.4838,-121.714
100,6/11/2014,850830.0,3,2.5,2070,13241,1910,98102,47.6415,-122.315
101,10/27/2014,555000.0,3,2.0,1980,3478,1929,98117,47.6775,-122.372
102,12/12/2014,699950.0,3,2.25,2190,107593,1983,98077,47.7731,-122.08
103,10/7/2014,1090000.0,3,2.5,2920,8113,1950,98004,47.5814,-122.196
104,9/24/2014,290000.0,3,1.0,1210,33919,1954,98058,47.4375,-122.184
105,4/2/2015,375000.0,3,2.5,2340,10005,1978,98058,47.4431,-122.133
106,5/23/2014,460000.0,3,1.0,1670,4005,1939,98117,47.6878,-122.38
107,7/23/2014,188500.0,2,1.75,1240,2493,1985,98198,47.3813,-122.322
108,3/5/2015,680000.0,4,2.5,3140,28037,1991,98077,47.7304,-122.082
109,8/27/2014,470000.0,5,1.75,2030,12342,1942,98052,47.6417,-122.109
110,7/25/2014,597750.0,4,2.5,2310,9624,1984,98027,47.5386,-122.053
111,3/4/2015,570000.0,3,1.75,1260,3328,1905,98103,47.6823,-122.349
112,9/16/2014,272500.0,3,1.75,1540,12600,1980,98038,47.3624,-122.031
113,11/24/2014,329950.0,3,1.75,2080,5969,1971,98108,47.5474,-122.295
114,10/28/2014,480000.0,4,2.5,3230,16171,2001,98001,47.3183,-122.253
115,11/21/2014,740500.0,3,3.5,4380,6350,1900,98117,47.6981,-122.368
116,6/26/2014,518500.0,3,3.5,1590,1102,2010,98103,47.6824,-122.347
117,6/23/2014,205425.0,2,1.0,880,6780,1945,98178,47.5009,-122.248
118,1/8/2015,171800.0,4,2.0,1570,9600,1950,98168,47.4965,-122.303
119,5/11/2015,535000.0,4,1.0,1610,2982,1925,98144,47.587,-122.294
120,1/2/2015,660000.0,3,2.5,2400,6474,1964,98177,47.7728,-122.386
121,11/19/2014,391500.0,3,2.0,1450,9132,1987,98034,47.7288,-122.226
122,4/6/2015,395000.0,2,1.0,770,6000,1953,98117,47.6999,-122.364
123,11/4/2014,445000.0,4,1.75,2100,4400,1924,98118,47.5299,-122.266
124,6/18/2014,770000.0,3,2.25,2910,10204,1990,98052,47.6897,-122.098
125,3/2/2015,1450000.0,4,2.75,2750,17789,1914,98004,47.6141,-122.212
126,7/17/2014,445000.0,3,2.25,2100,8201,1967,98178,47.5091,-122.244
127,7/17/2014,260000.0,4,2.25,2160,8811,1978,98023,47.3129,-122.39
128,6/13/2014,822500.0,5,3.5,2320,4960,1926,98103,47.6763,-122.352
129,4/6/2015,430000.0,4,2.5,2070,4310,2004,98065,47.5319,-121.85
130,1/5/2015,212000.0,3,1.75,1060,7875,1986,98092,47.2761,-122.152
131,4/28/2015,660500.0,4,2.25,2010,9603,1986,98027,47.5343,-122.054
132,6/12/2014,784000.0,3,3.5,3950,111078,1989,98052,47.697,-122.072
133,5/12/2014,453246.0,3,2.5,2010,2287,2014,98029,47.5517,-121.998
134,1/26/2015,675000.0,4,3.5,2140,2278,2005,98107,47.6734,-122.38
135,8/13/2014,199000.0,3,1.75,1320,17390,1956,98003,47.3257,-122.296
136,8/5/2014,220000.0,4,1.75,2020,7840,1968,98003,47.3309,-122.299
137,5/29/2014,452000.0,4,2.25,2590,10002,1968,98028,47.7689,-122.266
138,7/7/2014,382500.0,2,1.0,1190,4440,1981,98125,47.7135,-122.287
139,5/7/2014,519950.0,3,2.25,1170,1249,2014,98107,47.6722,-122.381
140,6/27/2014,665000.0,2,1.0,1110,3200,1925,98119,47.6338,-122.358
141,7/8/2014,527700.0,5,2.5,2820,9375,1968,98006,47.5707,-122.128
142,5/8/2015,205000.0,3,1.0,1610,8579,1962,98058,47.4563,-122.171
143,4/15/2015,420000.0,3,1.0,1060,8097,1923,98133,47.7144,-122.351
144,2/27/2015,500000.0,4,2.25,2030,8517,1961,98006,47.5495,-122.174
145,12/3/2014,921500.0,4,2.5,3670,315374,1994,98077,47.7421,-122.026
146,6/25/2014,890000.0,4,1.0,2550,4000,1905,98109,47.6354,-122.353
147,8/6/2014,430000.0,2,2.5,2420,60984,2007,98027,47.5262,-121.943
