dateSold,price,bedrooms,bathrooms,livingArea,lotSize,yearBuilt,zipcode,latitude,longitude,state
13/10/2014,221900.0,3.0,1,1180.0,4791.0,1955.0,98178,47.5112,-122.257,Washington
09/12/2014,538000.0,3.0,2,2570.0,4791.0,1951.0,98125,47.721,-122.319,Washington
25/02/2015,180000.0,2.0,1,770.0,4791.0,1933.0,98028,47.7379,-122.233,Washington
09/12/2014,604000.0,4.0,3,1960.0,4791.0,1965.0,98136,47.5208,-122.393,Washington
18/02/2015,510000.0,3.0,2,1680.0,4791.0,1987.0,98074,47.6168,-122.045,Washington
27/06/2014,257500.0,3.0,2,1715.0,4791.0,1995.0,98003,47.3097,-122.327,Washington
15/01/2015,291850.0,3.0,1,1060.0,4791.0,1963.0,98198,47.4095,-122.315,Washington
15/04/2015,229500.0,3.0,1,1780.0,4791.0,1960.0,98146,47.5123,-122.337,Washington
12/03/2015,323000.0,3.0,2,1890.0,4791.0,2003.0,98038,47.3684,-122.031,Washington
03/04/2015,662500.0,3.0,2,3560.0,4791.0,1965.0,98007,47.6007,-122.145,Washington
27/05/2014,468000.0,2.0,1,1160.0,4791.0,1942.0,98115,47.69,-122.292,Washington
28/05/2014,310000.0,3.0,1,1430.0,4791.0,1927.0,98028,47.7558,-122.229,Washington
07/10/2014,400000.0,3.0,1,1370.0,4791.0,1977.0,98074,47.6127,-122.045,Washington
12/03/2015,530000.0,5.0,2,1810.0,4791.0,1900.0,98107,47.67,-122.394,Washington
24/01/2015,650000.0,4.0,3,2950.0,4791.0,1979.0,98126,47.5714,-122.375,Washington
31/07/2014,395000.0,3.0,2,1890.0,4791.0,1994.0,98019,47.7277,-121.962,Washington
29/05/2014,485000.0,4.0,1,1600.0,4791.0,1916.0,98103,47.6648,-122.343,Washington
05/12/2014,189000.0,2.0,1,1200.0,4791.0,1921.0,98002,47.3089,-122.21,Washington
24/04/2015,230000.0,3.0,1,1250.0,4791.0,1969.0,98003,47.3343,-122.306,Washington
14/05/2014,385000.0,4.0,1,1620.0,4791.0,1947.0,98133,47.7025,-122.341,Washington
03/07/2014,285000.0,5.0,2,2270.0,4791.0,1995.0,98092,47.3266,-122.169,Washington
16/05/2014,252700.0,2.0,1,1070.0,4791.0,1985.0,98030,47.3533,-122.166,Washington
20/11/2014,329000.0,3.0,2,2450.0,4791.0,1985.0,98030,47.3739,-122.172,Washington
03/11/2014,233000.0,3.0,2,1710.0,4791.0,1941.0,98002,47.3048,-122.218,Washington
26/06/2014,937000.0,3.0,1,2450.0,4791.0,1915.0,98119,47.6386,-122.36,Washington
01/12/2014,667000.0,3.0,1,1400.0,4791.0,1909.0,98112,47.6221,-122.314,Washington
24/06/2014,438000.0,3.0,1,1520.0,4791.0,1948.0,98115,47.695,-122.304,Washington
02/03/2015,719000.0,4.0,2,2570.0,4791.0,2005.0,98052,47.7073,-122.11,Washington
10/11/2014,580500.0,3.0,2,2320.0,4791.0,2003.0,98027,47.5391,-122.07,Washington
01/12/2014,280000.0,2.0,1,1190.0,4791.0,2005.0,98133,47.7274,-122.357,Washington
24/06/2014,687500.0,4.0,1,2330.0,4791.0,1929.0,98117,47.6823,-122.368,Washington
10/11/2014,535000.0,3.0,1,1090.0,4791.0,1929.0,98117,47.6889,-122.375,Washington
03/12/2014,322500.0,4.0,2,2060.0,4791.0,1981.0,98058,47.4276,-122.157,Washington
13/06/2014,696000.0,3.0,2,2300.0,4791.0,1930.0,98115,47.6827,-122.31,Washington
28/05/2014,550000.0,4.0,1,1660.0,4791.0,1933.0,98052,47.6621,-122.132,Washington
30/12/2014,640000.0,4.0,2,2360.0,4791.0,1904.0,98107,47.6702,-122.362,Washington
13/02/2015,240000.0,4.0,1,1220.0,4791.0,1969.0,98001,47.3341,-122.282,Washington
20/06/2014,605000.0,4.0,2,2620.0,4791.0,1996.0,98056,47.5301,-122.18,Washington
15/07/2014,625000.0,4.0,2,2570.0,4791.0,2000.0,98074,47.6145,-122.027,Washington
11/08/2014,775000.0,4.0,2,4220.0,4791.0,1984.0,98166,47.445,-122.347,Washington
07/07/2014,861990.0,5.0,2,3595.0,4791.0,2014.0,98053,47.6848,-122.016,Washington
28/10/2014,685000.0,3.0,1,1570.0,4791.0,1922.0,98119,47.6413,-122.364,Washington
29/07/2014,309000.0,3.0,1,1280.0,4791.0,1959.0,98058,47.4485,-122.175,Washington
18/07/2014,488000.0,3.0,2,3160.0,4791.0,2003.0,98019,47.7443,-121.977,Washington
25/03/2015,210490.0,3.0,1,990.0,4791.0,1966.0,98023,47.3066,-122.371,Washington
16/07/2014,785000.0,4.0,2,2290.0,4791.0,1981.0,98007,47.6194,-122.151,Washington
28/04/2015,450000.0,3.0,1,1250.0,4791.0,1953.0,98115,47.6796,-122.301,Washington
11/03/2015,1350000.0,3.0,2,2753.0,4791.0,1953.0,98070,47.4041,-122.451,Washington
16/09/2014,228000.0,3.0,1,1190.0,4791.0,1955.0,98148,47.4258,-122.322,Washington
17/02/2015,345000.0,5.0,2,3150.0,4791.0,1966.0,98056,47.4934,-122.189,Washington
31/12/2014,600000.0,3.0,1,1410.0,4791.0,1950.0,98117,47.6808,-122.384,Washington
05/02/2015,585000.0,2.0,1,1980.0,4791.0,1981.0,98117,47.6989,-122.369,Washington
03/03/2015,920000.0,5.0,2,2730.0,4791.0,1927.0,98105,47.6571,-122.281,Washington
12/05/2014,885000.0,4.0,2,2830.0,4791.0,1995.0,98105,47.6597,-122.29,Washington
19/08/2014,292500.0,4.0,2,2250.0,4791.0,2008.0,98042,47.3663,-122.114,Washington
07/04/2015,301000.0,3.0,2,2420.0,4791.0,2003.0,98042,47.3663,-122.122,Washington
27/08/2014,951000.0,5.0,3,3250.0,4791.0,1968.0,98008,47.588,-122.116,Washington
23/02/2015,430000.0,4.0,3,1850.0,4791.0,1991.0,98059,47.5059,-122.149,Washington
10/12/2014,650000.0,3.0,2,2150.0,4791.0,1959.0,98166,47.4336,-122.339,Washington
28/08/2014,289000.0,3.0,1,1260.0,4791.0,1954.0,98148,47.4366,-122.335,Washington
21/10/2014,505000.0,3.0,1,2519.0,4791.0,1973.0,98166,47.4428,-122.344,Washington
07/12/2014,549000.0,3.0,1,1540.0,4791.0,2014.0,98115,47.6765,-122.32,Washington
03/06/2014,425000.0,3.0,2,1660.0,4791.0,1979.0,98122,47.6113,-122.297,Washington
20/11/2014,317625.0,3.0,2,2770.0,4791.0,1925.0,98144,47.5747,-122.304,Washington
09/09/2014,975000.0,4.0,2,2720.0,4791.0,1989.0,98004,47.5815,-122.192,Washington
09/10/2014,287000.0,4.0,2,2240.0,4791.0,2005.0,98001,47.3378,-122.257,Washington
25/08/2014,204000.0,3.0,1,1000.0,4791.0,1968.0,98042,47.3621,-122.11,Washington
12/06/2014,1330000.0,5.0,2,3200.0,4791.0,1965.0,98004,47.6303,-122.215,Washington
12/09/2014,1040000.0,5.0,3,4770.0,4791.0,1973.0,98005,47.6525,-122.16,Washington
05/01/2015,325000.0,3.0,2,1260.0,4791.0,1972.0,98034,47.7362,-122.179,Washington
10/06/2014,571000.0,4.0,2,2750.0,4791.0,1916.0,98125,47.7168,-122.287,Washington
10/07/2014,360000.0,4.0,2,2380.0,4791.0,2005.0,98038,47.3608,-122.036,Washington
16/03/2015,349000.0,3.0,1,1790.0,4791.0,1965.0,98042,47.3511,-122.073,Washington
05/11/2014,832500.0,4.0,4,3430.0,4791.0,1986.0,98075,47.5822,-121.987,Washington
13/10/2014,380000.0,4.0,1,1760.0,4791.0,1956.0,98008,47.6034,-122.125,Washington
20/04/2015,480000.0,3.0,1,1040.0,4791.0,1941.0,98116,47.5636,-122.394,Washington
09/06/2014,410000.0,3.0,1,1410.0,4791.0,1956.0,98133,47.7073,-122.34,Washington
23/03/2015,720000.0,4.0,2,3450.0,4791.0,2002.0,98010,47.342,-122.025,Washington
02/12/2014,390000.0,3.0,2,2350.0,4791.0,2003.0,98038,47.3512,-122.008,Washington
22/12/2014,360000.0,4.0,2,1900.0,4791.0,1992.0,98038,47.349,-122.031,Washington
28/10/2014,355000.0,2.0,1,2020.0,4791.0,1948.0,98118,47.5474,-122.291,Washington
28/01/2015,356000.0,3.0,1,1680.0,4791.0,1964.0,98059,47.4811,-122.149,Washington
02/06/2014,315000.0,3.0,1,960.0,4791.0,1952.0,98125,47.7264,-122.31,Washington
14/11/2014,940000.0,3.0,1,2140.0,4791.0,1925.0,98119,47.6337,-122.365,Washington
